,Arousal,Compound,Dominance,Flair,POS nlkt,POS spcy,POS stza,Stanza,Subjectivity,Valence,category,word
13220,0.46,0.0,0.7,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.54,pos hp,generalization
13221,0.42,0.0,0.77,POSITIVE,NOUN,NOUN,VERB,1.0,0.0,0.77,pos hp,generate
13222,0.48,0.0,0.69,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.9,pos hp,generation
13223,0.44,0.51,0.69,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.96,pos hp,generosity
13224,0.41,0.51,0.81,POSITIVE,ADJ,ADJ,ADJ,2.0,0.0,1.0,pos hp,generous
13225,0.43,0.0,0.66,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.61,pos hp,genesis
13226,0.29,0.0,0.73,POSITIVE,ADJ,ADJ,ADJ,1.0,0.0,0.56,pos hp,genetic
13227,0.46,0.0,0.57,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.55,pos hp,genetics
13228,0.37,0.0,0.51,POSITIVE,NOUN,ADJ,NOUN,1.0,0.0,0.51,pos hp,genome
13229,0.43,0.0,0.5,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.52,pos hp,genre
13230,0.33,0.0,0.66,POSITIVE,NOUN,PROPN,ADJ,1.0,0.0,0.92,pos hp,genteel
13231,0.25,0.0,0.53,POSITIVE,NOUN,PROPN,ADJ,1.0,0.0,0.83,pos hp,gentile
13232,0.35,0.44,0.59,POSITIVE,NOUN,ADJ,ADJ,2.0,0.8,0.85,pos hp,gentle
13233,0.44,0.0,0.71,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.82,pos hp,gentleman
13234,0.45,0.0,0.72,POSITIVE,ADV,ADV,ADV,2.0,0.0,0.92,pos hp,gentlemanly
13235,0.48,0.0,0.62,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.56,pos hp,gentry
13236,0.45,0.0,0.69,POSITIVE,NOUN,PROPN,ADJ,2.0,0.5,0.88,pos hp,genuine
13237,0.35,0.0,0.56,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.58,pos hp,genus
13238,0.33,0.0,0.66,POSITIVE,ADJ,PROPN,ADJ,1.0,0.0,0.7,pos hp,geographic
13239,0.32,0.0,0.64,POSITIVE,ADJ,ADJ,ADJ,1.0,0.0,0.5,pos hp,geographical
13240,0.15,0.0,0.55,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.72,pos hp,geography
13241,0.32,0.0,0.6,POSITIVE,ADJ,PROPN,ADJ,1.0,0.0,0.67,pos hp,geological
13242,0.43,0.0,0.62,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.59,pos hp,geologist
13243,0.32,0.0,0.52,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.64,pos hp,geology
13244,0.47,0.0,0.62,POSITIVE,NOUN,PROPN,VERB,1.0,0.0,0.6,pos hp,germinate
13245,0.35,0.0,0.5,POSITIVE,VERB,VERB,VERB,2.0,0.0,0.75,pos hp,give
13246,0.41,0.34,0.66,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.69,pos hp,giver
13247,0.33,0.34,0.58,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.8,pos hp,giving
13248,0.4,0.0,0.55,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.57,pos hp,glacier
13249,0.47,0.0,0.62,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.76,pos hp,gloss
13250,0.5,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,2.0,0.0,0.92,pos hp,glow
13251,0.36,0.0,0.67,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.83,pos hp,goal
13252,0.49,0.0,0.8,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.72,pos hp,goals
13253,0.45,0.0,0.51,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.69,pos hp,godfather
13254,0.43,0.0,0.63,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.74,pos hp,godisgood
13255,0.3,0.0,0.59,POSITIVE,ADV,ADV,ADJ,1.0,0.0,0.75,pos hp,godly
13256,0.31,0.0,0.53,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.73,pos hp,godmother
13257,0.49,0.0,0.61,POSITIVE,ADJ,PROPN,ADJ,1.0,0.5,0.8,pos hp,golden
13258,0.4,0.0,0.58,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.6,pos hp,golfer
13259,0.37,0.44,0.53,POSITIVE,ADJ,ADJ,ADJ,2.0,0.6,0.94,pos hp,good
13260,0.46,0.0,0.68,POSITIVE,VERB,PROPN,NOUN,1.0,0.0,0.94,pos hp,goodfeeling
13261,0.4,0.0,0.71,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.94,pos hp,goodhealth
13262,0.33,0.0,0.6,POSITIVE,NOUN,PROPN,PROPN,2.0,0.0,0.85,pos hp,goodie
13263,0.47,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.92,pos hp,goodlife
13264,0.47,0.0,0.64,POSITIVE,ADV,ADV,ADJ,1.0,0.6,0.7,pos hp,goodly
13265,0.49,0.0,0.52,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.82,pos hp,goodmood
13266,0.46,0.0,0.55,POSITIVE,VERB,VERB,NOUN,1.0,0.0,0.92,pos hp,goodmorning
13267,0.5,0.0,0.5,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.76,pos hp,goodmusic
13268,0.32,0.46,0.71,POSITIVE,NOUN,INTJ,NOUN,2.0,0.0,0.97,pos hp,goodness
